Date,Adj Close,Rtn,Scaled rtns,,Mean,-4.84162E-05,,,Count,4976
2004/6/18,1.839283,0.002666825,0.450024797,,,,,,,
2004/6/21,1.833113,-0.003354568,-0.547962448,,,,,,,
2004/6/22,1.821991,-0.006067275,-0.99756713,,,,,,,
2004/6/23,1.816992,-0.002743702,-0.44671732,,,,,,,
2004/6/24,1.823686,0.003684111,0.618629999,,,,,,,
2004/6/25,1.826084,0.001314919,0.225959588,,,,,,,
2004/6/28,1.829993,0.002140646,0.362815789,,,,,,,
2004/6/29,1.809005,-0.011468896,-1.892833292,,,,,,,
2004/6/30,1.820201,0.006189038,1.033797198,,,,,,,
2004/7/1,1.8203,5.43896E-05,0.017039065,,,,,,,
2004/7/2,1.829592,0.005104653,0.854071026,,,,,,,
2004/7/5,1.830999,0.000769024,0.13548274,,,,,,,
2004/7/6,1.840604,0.00524577,0.877459815,,,,,,,
2004/7/7,1.85429,0.007435603,1.240403206,,,,,,,
2004/7/8,1.850789,-0.001888054,-0.304902065,,,,,,,
2004/7/9,1.861816,0.005958,0.995504886,,,,,,,
2004/7/12,1.861989,9.292E-05,0.023425109,,,,,,,
2004/7/13,1.857597,-0.002358768,-0.382918286,,,,,,,
2004/7/14,1.856011,-0.000853791,-0.133483055,,,,,,,
2004/7/15,1.852984,-0.001630917,-0.262284091,,,,,,,
2004/7/16,1.8728,0.010694102,1.780467729,,,,,,,
2004/7/19,1.868111,-0.002503738,-0.40694561,,,,,,,
2004/7/20,1.85271,-0.008244157,-1.358364137,,,,,,,
2004/7/21,1.839791,-0.006973029,-1.147687041,,,,,,,
2004/7/22,1.844916,0.002785642,0.46971762,,,,,,,
2004/7/23,1.833013,-0.006451784,-1.061295853,,,,,,,
2004/7/26,1.841316,0.004529701,0.758778248,,,,,,,
2004/7/27,1.822988,-0.00995375,-1.641712629,,,,,,,
2004/7/28,1.822888,-5.4855E-05,-0.001067162,,,,,,,
2004/7/29,1.818116,-0.002617824,-0.425854304,,,,,,,
2004/7/30,1.822091,0.002186329,0.370387271,,,,,,,
2004/8/2,1.824285,0.001204111,0.207594201,,,,,,,
2004/8/3,1.824884,0.000328348,0.062444971,,,,,,,
2004/8/4,1.825484,0.000328788,0.06251793,,,,,,,
2004/8/5,1.823985,-0.000821152,-0.128073438,,,,,,,
2004/8/6,1.840096,0.008832858,1.471984618,,,,,,,
2004/8/9,1.840909,0.000441825,0.081252671,,,,,,,
2004/8/10,1.827886,-0.007074223,-1.164458939,,,,,,,
2004/8/11,1.830597,0.001483134,0.253839539,,,,,,,
2004/8/12,1.823087,-0.004102487,-0.671922689,,,,,,,
2004/8/13,1.842706,0.010761417,1.791624577,,,,,,,
2004/8/16,1.841383,-0.000717966,-0.110971326,,,,,,,
2004/8/17,1.827586,-0.007492738,-1.233823759,,,,,,,
2004/8/18,1.823686,-0.002133963,-0.345658972,,,,,,,
2004/8/19,1.83261,0.004893386,0.819055608,,,,,,,
2004/8/20,1.819207,-0.007313613,-1.204135541,,,,,,,
2004/8/23,1.809398,-0.00539191,-0.885631985,,,,,,,
2004/8/24,1.792307,-0.009445683,-1.557505403,,,,,,,
2004/8/25,1.796396,0.002281417,0.386147188,,,,,,,
2004/8/26,1.795687,-0.000394679,-0.0573897,,,,,,,
2004/8/27,1.790286,-0.003007762,-0.490482805,,,,,,,
2004/8/30,1.795203,0.002746489,0.463228234,,,,,,,
2004/8/31,1.802484,0.004055809,0.680235296,,,,,,,
2004/9/1,1.7934,-0.005039712,-0.827258614,,,,,,,
2004/9/2,1.791601,-0.001003123,-0.15823327,,,,,,,
2004/9/3,1.77601,-0.008702272,-1.43429234,,,,,,,
2004/9/6,1.780405,0.002474648,0.41817335,,,,,,,
2004/9/7,1.775001,-0.003035264,-0.495040987,,,,,,,
2004/9/8,1.787406,0.006988728,1.166338161,,,,,,,
2004/9/9,1.789805,0.001342168,0.230475867,,,,,,,
2004/9/10,1.800115,0.005760404,0.962755363,,,,,,,
2004/9/13,1.7973,-0.001563789,-0.251158266,,,,,,,
2004/9/14,1.797785,0.000269849,0.052749398,,,,,,,
2004/9/15,1.776609,-0.011778939,-1.944219857,,,,,,,
2004/9/16,1.79369,0.009614383,1.601514876,,,,,,,
2004/9/17,1.791794,-0.001057039,-0.167169369,,,,,,,
2004/9/20,1.786799,-0.002787709,-0.454011059,,,,,,,
2004/9/21,1.796687,0.005533918,0.925217583,,,,,,,
2004/9/22,1.793915,-0.00154284,-0.247686124,,,,,,,
2004/9/23,1.797914,0.002229203,0.37749313,,,,,,,
2004/9/24,1.804891,0.003880608,0.651197532,,,,,,,
2004/9/27,1.811594,0.003713798,0.623550296,,,,,,,
2004/9/28,1.813697,0.001160856,0.200425111,,,,,,,
2004/9/29,1.80031,-0.007381056,-1.21531367,,,,,,,
2004/9/30,1.812809,0.006942693,1.158708267,,,,,,,
2004/10/1,1.799111,-0.007556229,-1.244346813,,,,,,,
2004/10/4,1.784312,-0.008225729,-1.355309952,,,,,,,
2004/10/5,1.782912,-0.000784616,-0.122017961,,,,,,,
2004/10/6,1.779486,-0.001921575,-0.310457894,,,,,,,
2004/10/7,1.782499,0.001693186,0.288653527,,,,,,,
2004/10/8,1.795203,0.007127073,1.189267375,,,,,,,
2004/10/11,1.798691,0.001942956,0.330050503,,,,,,,
2004/10/12,1.791088,-0.004226963,-0.692553381,,,,,,,
2004/10/13,1.793304,0.001237237,0.213084464,,,,,,,
2004/10/14,1.797107,0.002120667,0.359504354,,,,,,,
2004/10/15,1.804598,0.004168366,0.698890593,,,,,,,
2004/10/18,1.797785,-0.003775356,-0.61770396,,,,,,,
2004/10/19,1.803914,0.003409195,0.573065405,,,,,,,
2004/10/20,1.816299,0.006865627,1.145935233,,,,,,,
2004/10/21,1.827485,0.006158678,1.028765323,,,,,,,
2004/10/22,1.829291,0.000988243,0.171816234,,,,,,,
2004/10/25,1.84179,0.006832702,1.140478272,,,,,,,
2004/10/26,1.835907,-0.003194175,-0.5213789,,,,,,,
2004/10/27,1.828087,-0.004259475,-0.697941959,,,,,,,
2004/10/29,1.8381,0.00547731,0.915835352,,,,,,,
2004/11/1,1.83271,-0.002932376,-0.477988199,,,,,,,
2004/11/2,1.839791,0.003863677,0.648391381,,,,,,,
2004/11/3,1.847609,0.004249396,0.712320453,,,,,,,
2004/11/4,1.843896,-0.002009624,-0.325051131,,,,,,,
2004/11/5,1.857286,0.007261798,1.211596752,,,,,,,
2004/11/8,1.854599,-0.001446735,-0.23175765,,,,,,,
2004/11/9,1.855701,0.000594199,0.106507136,,,,,,,
2004/11/10,1.846892,-0.004746993,-0.778743345,,,,,,,
2004/11/11,1.843114,-0.002045599,-0.331013544,,,,,,,
2004/11/12,1.857286,0.007689161,1.282428004,,,,,,,
2004/11/15,1.846415,-0.005853164,-0.962080419,,,,,,,
2004/11/16,1.85319,0.003669273,0.616170702,,,,,,,
2004/11/17,1.859393,0.003347201,0.562790521,,,,,,,
2004/11/18,1.848292,-0.005970228,-0.981482583,,,,,,,
2004/11/19,1.860084,0.006379944,1.065438119,,,,,,,
2004/11/22,1.859808,-0.00014838,-0.016568085,,,,,,,
2004/11/23,1.868984,0.004933843,0.825760859,,,,,,,
2004/11/24,1.881114,0.006490157,1.083704837,,,,,,,
2004/11/25,1.89179,0.00567536,0.948660212,,,,,,,
2004/11/26,1.893509,0.000908663,0.158626595,,,,,,,
2004/11/29,1.892506,-0.000529704,-0.079768819,,,,,,,
2004/11/30,1.9096,0.009032468,1.505068086,,,,,,,
2004/12/1,1.933114,0.012313574,2.048879345,,,,,,,
2004/12/2,1.924002,-0.004713638,-0.773215082,,,,,,,
2004/12/3,1.944088,0.010439698,1.738302751,,,,,,,
2004/12/6,1.936708,-0.003796124,-0.621146119,,,,,,,
2004/12/7,1.945109,0.004337773,0.726968154,,,,,,,
2004/12/8,1.937083,-0.004126247,-0.675860699,,,,,,,
2004/12/9,1.923299,-0.007115854,-1.171358958,,,,,,,
2004/12/10,1.91329,-0.005204079,-0.854500871,,,,,,,
2004/12/13,1.923817,0.005502041,0.9199342,,,,,,,
2004/12/14,1.927488,0.001908186,0.324287698,,,,,,,
2004/12/15,1.942502,0.007789413,1.299043815,,,,,,,
2004/12/16,1.931397,-0.005716854,-0.939488297,,,,,,,
2004/12/17,1.942011,0.005495504,0.918850763,,,,,,,
2004/12/20,1.947003,0.002570531,0.434065029,,,,,,,
2004/12/21,1.929012,-0.009240356,-1.523474375,,,,,,,
2004/12/22,1.914902,-0.007314625,-1.20430335,,,,,,,
2004/12/23,1.923891,0.004694235,0.78604823,,,,,,,
2004/12/24,1.921894,-0.001038001,-0.164013964,,,,,,,
2004/12/27,1.93491,0.006772486,1.130498063,,,,,,,
2004/12/28,1.927191,-0.003989333,-0.653168525,,,,,,,
2004/12/29,1.917913,-0.004814261,-0.78989229,,,,,,,
2004/12/30,1.923817,0.003078346,0.518230389,,,,,,,
2004/12/31,1.919791,-0.002092715,-0.33882254,,,,,,,
2005/1/3,1.904617,-0.007903985,-1.301984039,,,,,,,
2005/1/4,1.883594,-0.011037915,-1.821402288,,,,,,,
2005/1/5,1.885512,0.001018266,0.176792211,,,,,,,
2005/1/6,1.87649,-0.004784907,-0.785027229,,,,,,,
2005/1/7,1.871293,-0.002769532,-0.450998502,,,,,,,
2005/1/10,1.876912,0.003002737,0.505698853,,,,,,,
2005/1/11,1.878605,0.000902014,0.157524471,,,,,,,
2005/1/12,1.890716,0.006446805,1.07651962,,,,,,,
